objectid,remark,kode2,id,nama_danau,lokasi,provinsi,luas_ha_,klasifikas,tipe,pot_mw
267,Danau/Situ,8066A,ID-MU.12,Danau Lemo-lemo,"Kec. Bacan Timur Tengah, Kab. Halmahera Selatan",Maluku Utara,25.93,Kecil,Vulkanik,1.29649997
268,Danau/Situ,8069A,ID-MU.17,Danau Elnusa,"Kec. Bacan Timur, Kab. Halmahera Selatan",Maluku Utara,44.3,Kecil,-,2.21499991
269,Danau/Situ,8096A,ID-MU.21,Telaga Yonelo,"Kec. Weda Utara, Kab. Halmahera Tengah",Maluku Utara,156.43,Kecil,Laguna,7.82149982
270,Danau/Situ,8148A,ID-MU.1,Danau Tolire Besar,"Kec. Pulau Ternate, Kota Ternate",Maluku Utara,26.24,Kecil,Vulkanik,1.31200004
271,Danau/Situ,8155A,ID-MU.9,Danau Rano,"Kec. Ibu Selatan, Kab. Halmahera Barat",Maluku Utara,113.0,Kecil,Vulkanik,5.6500001
272,Danau/Situ,8163A,ID-MU.4,Danau Lina,"Kec. Tobelo Barat, Kab. Halmahera Barat",Maluku Utara,65.17,Kecil,-,3.2585001
273,Danau/Situ,8165A,ID-MU.23,Danau Todoke,"Kec. Ibu Utara, Kab. Halmahera Utara",Maluku Utara,29.58,Kecil,Vulkanik,1.47899997
274,Danau/Situ,8166A,ID-MU.24,Danau Takuoko,"Kec. Ibu Utara, Kab. Halmahera Utara",Maluku Utara,57.16,Kecil,Vulkanik,2.85800004
275,Danau/Situ,8167A,ID-MU.5,Danau Paca,"Kec. Tobelo Selatan, Kab. Halmahera Barat",Maluku Utara,504.41,Kecil,-,25.22050095
276,Danau/Situ,8168A,ID-MU.25,Danau Peke,"Kec. Tobelo Utara, Kab. Halmahera Utara",Maluku Utara,70.28,Kecil,-,3.51399994
277,Danau/Situ,8170A,ID-MU.8,Danau Galela,"Kec. Galela, Kab. Halmahera Barat",Maluku Utara,409.46,Kecil,-,20.47299957
278,Danau/Situ,8172A,ID-MU.6,Danau Mekate,"Kec. Galela Barat, Kab. Halmahera Barat",Maluku Utara,42.18,Kecil,-,2.10899997
279,Danau/Situ,8421A,ID-MU.29,Danau Kabau,"Kec. Sulabesi Barat, Kab. Kepulauan Sula",Maluku Utara,76.1,Kecil,Laguna,3.80500007
280,Danau/Situ,8430A,ID-MU.31,Danau Kawalo,"Kec. Pulau Taliabu, Kab. Pulau Taliabu",Maluku Utara,744.4,Kecil,Laguna,37.22000122
281,Danau/Situ,8516A,ID-KS.590,Noname 568,"Kec. 	Satui	, 	Kab. 	Tanahbumbu",Kalimantan Selatan,26.1,Kecil,-,1.30499995
282,Danau/Situ,8521A,ID-KS.562,Noname 540,"Kec. 	Satui	, 	Kab. 	Tanahbumbu",Kalimantan Selatan,42.92,Kecil,-,2.14599991
